sample,rank1,rank2,morpho_type
alisacraig,sll_old_cultivars,sll_moneymaker_ailsacraig,
bgv004584,slc_co,slc_co,slc_cherry
bgv005895,slc_world,slc_world,slc_wild_like
bgv005912,slc_ec,slc_ec_s_1000m,slc_ecu_big
bgv006148,,,slc_cherry
bgv006175,slc_ec,slc_ec_guayaquil,
bgv006208,sp_ec,sp_ec_s_dry_forest,sp_montane
bgv006225,slc_ec,slc_ec_c_800m,slc_ecu_tom_leaf
bgv006229,slc_ec,slc_ec_c_800m,slc_ecu_rib_flat
bgv006230,slc_ec,slc_ec_c_800m,slc_ecu_tom_leaf
bgv006231,slc_ec,slc_ec_c_800m,slc_ecu_rib_flat
bgv006232,slc_ec,slc_ec_c_800m,
bgv006234,slc_ec,slc_ec_s_1000m,slc_ecu_big
bgv006235,slc_ec,slc_ec_c_800m,slc_cherry
bgv006327,sp_pe,sp_pe_n_hills,sp_coast
bgv006336,sp_pe,sp_pe_n_hills,sp_coast
bgv006347,sp_pe,sp_pe_n_hills,sp_coast
bgv006353,sp_pe,sp_pe_n_hills,sp_coast
bgv006363,sp_pe,sp_pe_desert,sp_slc
bgv006370,sp_x_sp,sp_pe_x_sp_ec,sp_coast
bgv006454,sp_pe,sp_pe_n_hills,sp_coast
bgv006457,sp_pe,sp_pe_n_hills,sp_coast
bgv006478,sp_pe,sp_pe_desert,sp_slc
bgv006753,slc_ec,slc_ec_n_600m,slc_ecu_rib_flat
bgv006767,slc_ec,slc_ec_n_600m,slc_wild_like
bgv006768,slc_ec,slc_ec_n_600m,slc_cherry
bgv006775,sp_ec,sp_ec_n_wet_forest,slc_wild_like
bgv006777,slc_ec,slc_ec_n_600m,slc_ecu_tom_leaf
bgv006779,slc_ec,slc_ec_n_600m,slc_ecu_tom_leaf
bgv006792,slc_ec,slc_ec_n_600m,slc_ecu_tom_leaf
bgv006806,slc_ec,slc_ec_n_600m,slc_ecu_rib_flat
bgv006825,,,slc_ecu_rib_flat
bgv006828,slc_ec,slc_ec_n_600m,slc_ecu_rib_flat
bgv006852,slc_ec,slc_ec_n_600m,slc_ecu_rib_flat
bgv006859,slc_ec,slc_ec_c_800m,sp_north_ecu
bgv006865,slc_ec,slc_ec_c_800m,
bgv006867,slc_ec,slc_ec_c_800m,slc_wild_like
bgv006881,slc_ec,slc_ec_c_800m,slc_ecu_tom_leaf
bgv006896,slc_ec,slc_ec_c_800m,slc_ecu_tom_leaf
bgv006899,slc_ec,slc_ec_c_800m,slc_ecu_rib_flat
bgv006901,slc_ec,slc_ec_c_800m,slc_ecu_rib_flat
bgv006904,slc_ec,slc_ec_c_800m,
bgv006906,slc_ec,slc_ec_c_800m,slc_ecu_tom_leaf
bgv006907,slc_ec,slc_ec_c_800m,slc_ecu_rib_flat
bgv006910,slc_ec,slc_ec_c_800m,sp_north_ecu
bgv006927,slc_ec,slc_ec_s_1000m,slc_ecu_big
bgv006931,slc_ec,slc_ec_s_1000m,slc_ecu_big
bgv006934,slc_ec,slc_ec_s_1000m,slc_ecu_big
bgv007015,slc_ec,slc_ec_c_800m,slc_cherry
bgv007017,slc_ec,slc_ec_c_800m,slc_cherry
bgv007023,slc_ec,slc_ec_c_800m,slc_ecu_rib_flat
bgv007109,sp_ec,sp_ec_n_wet_forest,sp_slc
bgv007111,sp_ec,sp_ec_n_wet_forest,sp_slc
bgv007149,sp_ec,sp_ec_n_wet_forest,sp_north_ecu
bgv007151,sp_ec,sp_ec_s_dry_forest,sp_north_ecu
bgv007152,sp_ec,sp_ec_n_wet_forest,sp_north_ecu
bgv007158,sp_ec,sp_ec_n_wet_forest,sp_north_ecu
bgv007161,sp_ec,sp_ec_n_wet_forest,sp_north_ecu
bgv007169,sp_ec,sp_ec_n_wet_forest,sp_north_ecu
