Accession	CollectionID	pagina	origen colecta	tipo muestra	Natural comprobado: no afectado por humanos	ruderal comprobado: hábitat afectado por seres humanos	Mala hierba comprobado	tolerada: surge expotáneamente (adventicia), pero la aprovechan (4, 1)	cultivada pequeño huerto	cultivo comercial	market	Taxon	Country	Latitude	Longitude	especies asociadas	
BGV006129	ECU-0354				1							SP	ECU	-3.95194444444444	-79.4355555555556		
BGV006167	ECU-0396											SP	ECU	-3.71777777777778	-79.5802777777778		
BGV006183	ECU-0412											SP	ECU	-3.31722222222222	-79.8033333333333		
BGV006186	ECU-0415					1						SP	ECU	-3.33472222222222	-79.6969444444445		
BGV006187	ECU-0416					1						SP	ECU	-3.31222222222222	-79.6286111111111		
BGV006188	ECU-0417					1						SP	ECU	-3.31805555555556	-79.5880555555556		
BGV006192	ECU-0421					1						SP	ECU	-2.59666666666667	-79.4738888888889		
BGV006195	ECU-0424											SP	ECU	-2.46833333333333	-79.4527777777778		
BGV006196	ECU-0425											SP	ECU	-2.46833333333333	-79.4527777777778		
BGV006208	ECU-0440					1						SP	ECU	-3.30805555555556	-79.3480555555555		
BGV006211	ECU-0443				1							SP	ECU	-3.31555555555556	-79.3538888888889		
BGV006282	ECU-0516											SP	PER	-5.995	-79.7175		
BGV006327	ECU-0561	20	1	1								SP	PER	-4.89222222222222	-80.3752777777778		
BGV006329	ECU-0563	23	1	1								SP	PER	-5.15416666666667	-80.1680555555556		
BGV006332	ECU-0566	27	1	1								SP	PER	-5.28722222222222	-79.9580555555556		
BGV006333	ECU-0567	34	1	1	1							SP	PER	-5.18694444444444	-80.6258333333333		
BGV006335	ECU-0569	55	1	1	1							SP	PER	-5.29888888888889	-79.9430555555556		
BGV006336	ECU-0570	56	1	1	1							SP	PER	-5.32944444444444	-79.9183333333333		
BGV006337	ECU-0571	57	1	1		1						SP	PER	-5.34611111111111	-79.8491666666667		
BGV006339	ECU-0573	59	1	1								SP	PER	-5.43527777777778	-79.7436111111111		
BGV006340	ECU-0574	63										SP	PER	-5.43305555555556	-79.7422222222222		
BGV006341	ECU-0575	100	1	1								SP	PER	-5.28166666666667	-80.6841666666667		
BGV006343	ECU-0577	107										SP	PER	-5.32222222222222	-80.7136111111111		
BGV006347	ECU-0581	112	1	1	1							SP	PER	-5.27833333333333	-80.1058333333333		
BGV006348	ECU-0582		1	1	1							SP	PER	-5.39055555555556	-80.0566666666667	lufa	
BGV006349	ECU-0583	114	1	1								SP	PER	-5.44	-80.0316666666667		
BGV006352	ECU-0586		1	1	1							SP	PER	-5.55388888888889	-79.9780555555556		
BGV006353	ECU-0587		1	1	1							SP	PER	-5.58916666666667	-79.9702777777778		
BGV006354	ECU-0588	121	1	1	1							SP	PER	-5.59833333333333	-79.9516666666667		
BGV006355	ECU-0589		1	1								SP	PER	-5.59833333333333	-79.9516666666667		
BGV006356	ECU-0590		1	1								SP	PER	-5.70416666666667	-79.8861111111111		
BGV006357	ECU-0591		1	1								SP	PER	-5.81805555555556	-79.8330555555556		
BGV006363	ECU-0597	132	1	1		1						SP	PER	-5.995	-79.7175		
