accession,country,latitude,longitude,species,variety,region,BGV,LA,EA,PI,LYC,CATORT,CGN
alisacraig,USA, , ,S. lycopersicum, ,,,LA2838A,EA01101/EA00240/EA01101,,,,
bgv004584,COL, , ,S. lycopersicum,cerasiforme,,BGV004584,LA4660,,,,,
bgv005895,ECU,-4.030278,-78.899167,S. lycopersicum,cerasiforme,ecuador_south,BGV005895,LA4661,,,,,
bgv005912,ECU,-3.827778,-78.759444,S. lycopersicum,cerasiforme,ecuador_south,BGV005912,LA4662,,,,,
bgv006148,ECU,-3.870824,-79.646773,S. lycopersicum,cerasiforme,ecuador_south,BGV006148,LA4663,,,,,
bgv006175,ECU,-3.475,-80.025,S. lycopersicum, ,ecuador_south,BGV006175,LA4664,,,,,
bgv006208,ECU,-3.85833333333333,-79.6583333333333,S. pimpinellifolium, ,ecuador_south,BGV006208,LA4665,,,,,
bgv006225,ECU,-3.406667,-78.572778,S. lycopersicum,cerasiforme,ecuador_south,BGV006225,LA4666,,,,,
bgv006229,ECU,-3.07583333333333,-78.4788888888889,S. lycopersicum,cerasiforme,ecuador_south,BGV006229,LA4667,,,,,
bgv006230,ECU,-3.066667,-78.466667,S. lycopersicum,cerasiforme,ecuador_south,BGV006230,LA4668,,,,,
bgv006231,ECU,-2.475,-78.175,S. lycopersicum, ,ecuador_south,BGV006231,LA4669,,,,,
bgv006232,ECU,-2.6,-78.166667,S. lycopersicum,cerasiforme,ecuador_south,BGV006232,LA4670,,,,,
bgv006234,ECU,-4.016667,-78.883333,S. lycopersicum,cerasiforme,ecuador_south,BGV006234,LA4671,,,,,
bgv006235,ECU,-3.066667,-78.466667,S. lycopersicum,cerasiforme,ecuador_south,BGV006235,LA4672,,,,,
bgv006327,PER,-5.102383,-80.76522,S. pimpinellifolium, ,peru_piura,BGV006327,LA4673,,,,,
bgv006336,PER,-5.285242,-80.552738,S. pimpinellifolium, ,peru_piura,BGV006336,LA4674,,,,,
bgv006347,PER,-5.15833333333333,-79.175,S. pimpinellifolium, ,peru_utcubamba,BGV006347,LA4675,,,,,
bgv006353,PER,-5.5891666667,-79.9702777778,S. pimpinellifolium, ,peru_piura,BGV006353,LA4676,,,,,
bgv006363,PER,-5.695608,-78.814414,S. pimpinellifolium, ,peru_utcubamba,BGV006363,LA4677,,,,,
bgv006370,PER,-4.863181,-80.77343,S. pimpinellifolium, ,peru_piura,BGV006370,LA4678,,,,,
bgv006454,PER,-5.096508,-80.160496,S. pimpinellifolium, ,peru_piura,BGV006454,LA4679,,,,,
bgv006457,PER,-5.218102,-80.120565,S. pimpinellifolium, ,peru_piura,BGV006457,LA4680,,,,,
bgv006478,PER,-6.712779,-79.90977,S. pimpinellifolium, ,peru_north_coast,BGV006478,LA4681,,,,,
bgv006753,ECU,-0.908694,-77.807794,S. lycopersicum,cerasiforme,ecuador_napo,BGV006753,LA4682,,,,,
bgv006767,ECU,-0.9572222222,-77.8158333333,S. lycopersicum,cerasiforme,ecuador_napo,BGV006767,LA4683,,,,,
bgv006768,ECU,-1.030556,-77.730833,S. lycopersicum,cerasiforme,ecuador_napo,BGV006768,LA4684,,,,,
bgv006775,ECU,-1.035278,-77.668611,S. lycopersicum,cerasiforme,ecuador_napo,BGV006775,LA4685,,,,,
bgv006777,ECU,-1.035278,-77.668611,S. lycopersicum,cerasiforme,ecuador_napo,BGV006777,LA4686,,,,,
bgv006779,ECU,-1.031389,-77.731111,S. lycopersicum,cerasiforme,ecuador_napo,BGV006779,LA4687,,,,,
bgv006792,ECU,-0.992416,-77.815201,S. lycopersicum,cerasiforme,ecuador_napo,BGV006792,LA4688,,,,,
bgv006806,ECU,-1.165833,-77.856944,S. lycopersicum,cerasiforme,ecuador_napo,BGV006806,LA4689,,,,,
bgv006825,ECU,-1.263333,-77.89,S. lycopersicum,cerasiforme,ecuador_napo,BGV006825,LA4690,,,,,
bgv006828,ECU,-1.316667,-77.883333,S. lycopersicum,cerasiforme,ecuador_napo,BGV006828,LA4691,,,,,
bgv006852,ECU,-1.7,-77.833333,S. lycopersicum,cerasiforme,ecuador_south,BGV006852,LA4692,,,,,
bgv006859,ECU,-1.716667,-77.866667,S. lycopersicum,cerasiforme,ecuador_south,BGV006859,LA4693,,,,,
bgv006865,ECU,-1.809167,-77.829722,S. lycopersicum,cerasiforme,ecuador_south,BGV006865,LA4694,,,,,
bgv006867,ECU,-1.856072,-77.814534,S. lycopersicum,cerasiforme,ecuador_south,BGV006867,LA4695,,,,,
bgv006881,ECU,-2.3,-78.116667,S. lycopersicum,cerasiforme,ecuador_south,BGV006881,LA4696,,,,,
bgv006896,ECU,-2.458637,-78.177166,S. lycopersicum,cerasiforme,ecuador_south,BGV006896,LA4697,,,,,
bgv006899,ECU,-2.568611,-78.170833,S. lycopersicum,cerasiforme,ecuador_south,BGV006899,LA4698,,,,,
bgv006901,ECU,-2.568611,-78.170833,S. lycopersicum,cerasiforme,ecuador_south,BGV006901,LA4699,,,,,
