sample	Razifard_sample	Razifard_pop
bgv006753	BGV006753	SLC_ECU
ts-240		
bgv008036	BGV008036	SLC_PER
ts-617		
levovil		
bgv006904	BGV006904	SLC_ECU
bgv006865	BGV006865	SLC_ECU
ts-503		
ts-604		
bgv007015	BGV007015	SLC_ECU
bgv007870	BGV007870	SLL
ts-118		
ts-11		
ts-67	TS-67	uncertain
bgv008096	BGV008096	SLC_PER
bgv007921	BGV007921	SLC_MEX
ts-210		
ts-522		
ts-253		
bgv007990	BGV007990	SLC_PER
ts-592		
ts-249	TS-249	SLL
ts-169		
ts-564		
ts-411	TS-411	SP_PER
ts-437		
ts-526		
ts-319		
bgv015382	BGV015382	SP_PER
ts-225		
bgv007911	BGV007911	SLC_MEX
ts-421	TS-421	SP_PER
bgv007149	BGV007149	SP_NECU
glp37a		
ts-296		
ts-181		
bgv006899	BGV006899	SLC_ECU
ecu570b		
bgv007989	BGV007989	SLC_PER
ts-597		
ts-440	TS-440	SP_PER
pi129088	PI129088	SLC_MEX_CA_NSA
ts-22		
bgv007908	BGV007908	SLC_MEX
ts-583		
ts-287		
ts-48	TS-48	uncertain
ea02655	EA02655	SLL
bgv007854	BGV007854	SLL
ts-293		
ts-282	TS-282	SLL
ts-114		
ts-5		
ts-631		
ts-3		
ts-618		
bgv007992	BGV007992	SLC_ECU
ts-656		
ts-655		
ts-69	TS-69	uncertain
ts-423	TS-423	uncertain
ts-90	TS-90	uncertain
bgv008061	BGV008061	SLC_PER
tegucigalpa	Tegucigalpa	SLL
bgv008106	BGV008106	SLC_MEX
ts-304	TS-304	SLC_San_Martin
bgv006231	BGV006231	SLC_ECU
ts-50		
ts-644		
bgv008345	BGV008345	SLC_MEX_CA_NSA
bgv006779	BGV006779	SLC_ECU
ts-653		
bgv006454	BGV006454	SP_PER
ts-642		
ts-127		
ts-45		
ts-95	TS-95	SLL
ts-12		
bgv012614	BGV012614	SLC_MEX
bgv008051	BGV008051	SLC_MEX
ts-163	TS-163	SLL
bgv006353	BGV006353	SP_PER
bgv013945	BGV013945	SLC_PER
ts-193	TS-193	SLL
bgv006347	BGV006347	SP_PER
ts-213		
bgv007933	BGV007933	SLC_MEX_CA_NSA
ea02054	EA02054	uncertain
ts-599		
bgv014519	BGV014519	SLC_San_Martin
bgv008042	BGV008042	uncertain
criollo		
bgv007981	BGV007981	SLC_PER
ea00990	EA00990	SLL
ts-197	TS-197	SLL
ea00940	EA00940	SLL
ts-590		
ts-251	TS-251	SLL
bgv014508	BGV014508	SLC_PER
ts-657		
bgv008108	BGV008108	SLC_MEX_CA_NSA
ts-259		
ts-60		
pi487625	PI487625	SLC_ECU
ts-589		
bgv007366	BGV007366	SP_SECU
ts-523		
ts-547		
ts-208		
la0147		
ts-120		
ts-88		
ts-248		
ts-299	TS-299	SLC_ECU
ts-168		
bgv006881	BGV006881	SLC_ECU
ts-77	TS-77	SP_PER
bgv013134	BGV013134	SLC_MEX
bgv006907	BGV006907	SLC_ECU
bgv008354	BGV008354	SLC_MEX_CA_NSA
ea01088	EA01088	SLL
ts-630		
ts-602		
ts-258	TS-258	SLC_PER
ts-280	TS-280	SLC_MEX
bgv006775	BGV006775	SP_NECU
ts-165	TS-165	SLC_MEX
ts-54		
bgv006852	BGV006852	SLC_ECU
tr00019	TR00019	SLL
bgv006828	BGV006828	SLC_ECU
ts-170		
ts-425	TS-425	SP_PER
ts-575		
ea00652		
ts-566		
bgv005895	BGV005895	SLC_MEX
ts-560		
ts-66		
bgv008098	BGV008098	SLC_San_Martin
ea02960		
bgv008100	BGV008100	SLC_PER
ts-71	TS-71	SLC_ECU
bgv012627	BGV012627	SLC_MEX_CA_NSA
bgv007920	BGV007920	SLC_MEX
ea01049	EA01049	SLL
bgv008067	BGV008067	SLC_MEX
ts-548		
ts-2		
ts-318		
ts-530		
bgv007860	BGV007860	SLL
ts-128		
ts-139	TS-139	SLL
ts-177		
bgv006777	BGV006777	SLC_ECU
pas014479	PAS014479	SP_PER
bgv008058	BGV008058	SLC_ECU
voyage	Voyage	uncertain
bgv013161	BGV013161	SLC_PER
ts-44	TS-44	SLL
bgv007198	BGV007198	SP_PER
ts-639		
ts-610		
yellow_pear		
ts-649		
ts-172		
ts-63		
bgv015380	BGV015380	SP_PER
ts-4		
ts-619		
ts-623		
bgv012640	BGV012640	SLC_PER
ts-568		
ts-205		
ts-579		
ts-192	TS-192	SLL
ts-132	TS-132	SLL
tr00026	TR00026	uncertain
bgv007111	BGV007111	SP_NECU
ts-23		
ts-316		
ts-310		
ts-558		
ts-532		
bgv007109	BGV007109	SP_NECU
bgv008189	BGV008189	SLC_PER
ts-580		
ts-157		
ts-529		
ts-64		
ts-585		
ts-109		
ts-603		
ts-1		
ts-245		
bgv008070	BGV008070	SLC_MEX
ts-641		
ts-79	TS-79	SP_PER
ts-194		
ea00526		
ts-424		
moneymaker	Moneymaker	SLL
bgv007895	BGV007895	SLL
ts-647		
bgv014515	BGV014515	SLC_San_Martin
ts-212		
ts-43	TS-43	SLL
ts-309		
ts-549		
ts-554		
ts-112		
bgv006234	BGV006234	SLC_ECU
ts-178		
bgv006768	BGV006768	SLC_ECU
ts-629		
bgv008037	BGV008037	SLC_PER
bgv008041	BGV008041	SLC_PER
ts-261	TS-261	SLL
ts-99		
bgv006457	BGV006457	SP_PER
ea05701	EA05701	SLL
ts-129	TS-129	SLC_PER
ts-6		
ts-612		
ts-103		
ts-159		
ea00027	EA00027	uncertain
ts-76		
ts-567		
ea03701	EA03701	SLL
ea05170	EA05170	uncertain
ts-552		
ts-450		
ts-160		
bgv006370	BGV006370	SP_PER
bgv007871	BGV007871	SLL
ts-626		
ts-648		
bgv006901	BGV006901	SLC_ECU
bgv008225	BGV008225	SLC_PER
ts-175		
ts-431	TS-431	uncertain
ts-569		
bgv006229	BGV006229	SLC_ECU
bgv007935	BGV007935	SLC_MEX_CA_NSA
ts-220		
bgv007865	BGV007865	SLL
tr00027	TR00027	SLC_ECU
bgv008223	BGV008223	SLC_MEX
bgv006327	BGV006327	SP_PER
cervil		
ts-601		
ts-198		
ts-515		
bgv006931	BGV006931	SLC_ECU
ts-9		
ts-256	TS-256	SLC_PER
ea06086	EA06086	uncertain
ts-622		
ts-116		
ts-659		
ts-528		
bgv006336	BGV006336	SP_PER
ts-409		
ts-640		
bgv007017	BGV007017	SLC_ECU
ts-632		
bgv015734	BGV015734	SLC_San_Martin
ts-78		
ts-216		
ts-419	TS-419	SP_PER
ts-525		
ts-85		
ts-433		
ts-21		
bgv012613	BGV012613	uncertain
la0436		
ts-273	TS-273	SLC_PER
bgv007864	BGV007864	SLL
tr00020	TR00020	SLL
bgv006896	BGV006896	SLC_ECU
ea05891		
bgv008065	BGV008065	SLC_San_Martin
ts-94		
ts-156	TS-156	SP_PER
ts-507		
ts-141	TS-141	SLL
ea00375		
bgv008077	BGV008077	SLC_PER
pi129033	PI129033	SLC_ECU
ts-559		
pi129026	PI129026	SLC_ECU
ts-242	TS-242	uncertain
ts-302	TS-302	SLC_MEX
ts-244		
ts-74		
ts-537		
ts-158	TS-158	SLC_ECU
ts-524		
tr00022	TR00022	SLL
bgv006208	BGV006208	SP_SECU
ts-41	TS-41	uncertain
ts-254		
bgv008348	BGV008348	SLC_MEX_CA_NSA
ts-315		
ts-516		
ts-415	TS-415	SP_PER
ts-186		
ts-115		
bgv007181	BGV007181	SP_NECU
ts-51		
ts-75	TS-75	SLL
ts-57	TS-57	SLC_PER
bgv008219	BGV008219	SLC_MEX
ts-311		
ea02724	EA02724	SLL
ts-189		
ts-572		
ea00448	EA00448	SLL
ts-518		
ea00676	EA00676	SP_PER
ts-13		
ts-199		
ts-80		
ts-105		
ts-400		
ts-652		
bgv006148	BGV006148	uncertain
ts-413	TS-413	uncertain
ea01155	EA01155	SLL
ea04828	EA04828	SLL
ts-584		
ts-113		
ts-651		
ts-620		
stupicke		
ea03222	EA03222	SLL
ts-283		
tr00018	TR00018	SLL
bgv012639	BGV012639	SLC_ECU
bgv007931	BGV007931	SLC_MEX_CA_NSA
ts-628		
ts-561		
bgv007857	BGV007857	SLL
ts-517		
ts-511		
ts-637		
bgv007151	BGV007151	SP_SECU
ts-643		
ts-247	TS-247	SLC_PER
ts-20		
ts-46		
bgv007872	BGV007872	SLL
ts-104		
ts-72		
ts-138	TS-138	uncertain
bgv014516	BGV014516	SLC_San_Martin
ts-255		
ea02617	EA02617	SLL
ts-538		
bgv015726	BGV015726	SLC_San_Martin
ts-93		
ts-173	TS-173	SLL
ts-137	TS-137	SLL
ea01965		
bgv007194	BGV007194	SP_NECU
ea03107		
ts-544		
ts-211		
ts-519		
tr00024		
ts-543		
ts-509		
ts-84		
ts-236		
ts-131	TS-131	SLC_MEX
bgv006867	BGV006867	SLC_ECU
ts-117		
ts-314		
ts-207		
ts-520		
bgv007899	BGV007899	SLC_MEX
ts-533		
bgv006825	BGV006825	SLC_PER
ts-239		
ts-577		
ea04861	EA04861	SLL
ts-418	TS-418	SP_PER
ts-535		
bgv006235	BGV006235	SLC_ECU
ts-562		
ts-616		
ts-581		
ea02994		
catie-11106-1	CATIE-11106-1	SLC_MEX
la2697	LA2697	SLC_MEX_CA_NSA
ts-571		
ts-436	TS-436	SLC_MEX_CA_NSA
