accession	wild-like	morphological_type
BGV007060	wild	SP_north_Ecuador
BGV007063	wild	SP_north_Ecuador
BGV007065	wild	SP_north_Ecuador
BGV007066	wild	SP_north_Ecuador
BGV007068	wild	SP_north_Ecuador
BGV007069	wild	SP_north_Ecuador
BGV007070	wild	SP_north_Ecuador
BGV007072	wild	
BGV007073	wild	
BGV007076	wild	
BGV007085	wild	SP_north_Ecuador
BGV006778	wild	SP_north_Ecuador
BGV007095	wild	
BGV007100	wild	
BGV007103	wild	SP_Montane
BGV007104	wild	SLC_wild_like
BGV007105	wild	
BGV007106	wild	SP_north_Ecuador
BGV007109	wild	SP_Montane
BGV007111	wild	SP_Montane
BGV007112	wild	SLC_wild_like
BGV007113	wild	SLC_wild_like
BGV007118	wild	SP_north_Ecuador
BGV007123	wild	SP_north_Ecuador
BGV007145	wild	SP_north_Ecuador
BGV007148	wild	SP_north_Ecuador
BGV007149	wild	SP_north_Ecuador
BGV007150	wild	SP_Montane
BGV007151	cultivated	
BGV007152	wild	SP_north_Ecuador
BGV007155	wild	SP_north_Ecuador
BGV007156	wild	SP_north_Ecuador
BGV007158	wild	SP_north_Ecuador
BGV007161	wild	SP_north_Ecuador
BGV007163	wild	SP_north_Ecuador
BGV007169	wild	SP_north_Ecuador
BGV007181	wild	SP_north_Ecuador
BGV007183	wild	SP_north_Ecuador
BGV007184	wild	SP_north_Ecuador
BGV007188	wild	SP_north_Ecuador
BGV007194	wild	SP_north_Ecuador
BGV007198	wild	SP_north_Ecuador
BGV007200	wild	SP_north_Ecuador
BGV007201	wild	SP_north_Ecuador
BGV007202	wild	SP_north_Ecuador
BGV007210	wild	SP_north_Ecuador
BGV007215	wild	SP_north_Ecuador
BGV007219	wild	SP_north_Ecuador
BGV007222	wild	SP_north_Ecuador
BGV007225	wild	SP_north_Ecuador
BGV007230	wild	
BGV007232	wild	SP_Montane
BGV007233	wild	SP_north_Ecuador
BGV007243	wild	SP_north_Ecuador
BGV007250	wild	SP_north_Ecuador
BGV007257	wild	SP_north_Ecuador
BGV007264	wild	SP_north_Ecuador
BGV007271	wild	
BGV007272	wild	SP_north_Ecuador
BGV007135	wild	SP_north_Ecuador
BGV007137	wild	SLC_wild_like
BGV007138	wild	SP_north_Ecuador
BGV007276	wild	SP_north_Ecuador
BGV007279	wild	SP_Montane
BGV007287	wild	
BGV007300	cultivated	SLC_big
BGV007303	wild	SP_Montane
BGV007307	wild	SP_Montane
BGV007308	wild	SP_Montane
BGV006195	wild	SP_coast_Peru
BGV006196	wild	SP_coast_Peru
BGV006188	wild	SP_Montane
BGV006192	wild	SP_Montane
BGV006208	wild	SP_Montane
BGV006211	wild	SP_Montane
BGV006712	wild	SP_Montane
BGV006167	wild	SP_Montane
BGV006183	wild	SP_Montane
BGV006186	wild	SP_Montane
BGV007339	wild	SP_Montane
BGV007345	wild	SP_Montane
BGV007349	wild	SP_Montane
BGV007350	wild	
BGV007358	wild	SP_Montane
BGV007359	wild	SP_coast_Peru
BGV007361	wild	SP_Montane
BGV007364	wild	SP_Montane
BGV007366	wild	SP_Montane
BGV006691	wild	SP_Montane
BGV009285	wild	SP_Montane
BGV009287	wild	SP_north_Ecuador
